hanviet	word_1	word_2	pinyin_1	pinyin_2	meaning_1	meaning_2
đại gia	大家	大爷	dàjiā	dàyé	mọi người/đại gia/chuyên gia/người nổi tiếng/bậc thầy/họ lớn/thế gia vọng tộc	đại gia/ông lớn/cụ lớn/bác
thanh âm	声音	清音	shēngyīn	qīngyīn	thanh âm/âm thanh/tiếng tăm/tiếng động	thanh âm/nhạc
tinh thần	精神	星辰	jīngshén	xīngchén	tinh thần/nghị lực/sinh lực/tôn chỉ/ý nghĩa chủ yếu/sức sống/hoạt bát/sôi nổi/nhanh nhẹn/linh lợi	tinh thần/ngôi sao/sao
trung tâm	中心	忠心	zhōngxīn	zhōngxīn	trung tâm/giữa/ở giữa/giữa ruột	trung tâm/lòng trung/lòng trung thành/trung thành
cảm tình	感情	敢情	gǎnqíng	gǎnqíng	cảm tình/lòng yêu mến/tình cảm yêu mến/tình cảm	cảm tình/thì ra/hoá ra/té ra/tất nhiên/đương nhiên/dĩ nhiên
duy nhất	唯一	惟一	wéiyī	wéiyī	duy nhất	duy nhất/độc nhất vô nhị/có một không hai
phảng phất	仿佛	彷佛	fǎngfó	pángfó	giống như/phảng phất/dường như/hình như/giống/như	Phảng phất/thấy không được rõ ràng
tiêu thụ	销售	消受	xiāoshòu	xiāoshòu	tiêu thụ	tiêu thụ/hưởng thụ/chịu đựng/cam chịu/hưởng dùng
tưởng tượng	想象	想像	xiǎngxiàng	xiǎngxiàng	tưởng tượng/nghĩ ra/tưởng tượng ra	tưởng tượng
phụ nữ	妇女	父女	fùnv̌	fùnv̌	con gái/phụ nữ/đàn bà con gái	phụ nữ
chủ nhân	主人	主儿	zhǔrén	zhǔér	chủ nhân/chủ/người chủ/ông chủ/chủ sở hữu	chủ nhân/người chủ/loại người/hạng người/con người/nhà chồng
thông minh	聪明	通明	cōngmíng	tōngmíng	thông minh/nhạy bén/minh mẫn/khôn ngoan/sắc sảo	thông minh/sáng sủa/sáng rực/sáng trưng/sáng choang
thanh minh	声明	清明	shēngmíng	qīngmíng	thanh minh/tuyên bố/lời tuyên bố/bản tuyên bố	thanh minh/trong sạch/thư thái/trấn tĩnh/thanh thản/trong sáng/sáng trong/tiết thanh minh
tham quan	参观	贪官	cānguān	tānguān	đi thăm/tham quan/quan sát tại chỗ	tham quan
thực vật	食物	植物	shíwù	zhíwù	thực vật/đồ ăn	thực vật/cây cối/cây
nguyên bản	原本	原版	yuánběn	yuánbǎn	nguyên bản/bản gốc/bản chính/bản khắc lần đầu/sách gốc/vốn/gốc/nguyên là	nguyên bản/bản gốc/bản chính
hoàng đế	皇帝	黄帝	huángdì	huángdì	hoàng đế/vua	hoàng đế
tình cảnh	情景	情境	qíngjǐng	qíngjìng	tình cảnh/tình hình/cảnh tượng	tình cảnh/hoàn cảnh
công phu	功夫	工夫	gōngfū	gōngfū	công phu/bản lãnh/bản lĩnh/trình độ/thời gian/công sức/võ thuật/kungfu	công phu/người làm thuê/người làm mướn/thời gian/thì giờ/công sức/ngày rảnh rỗi/rỗi rãi/rảnh lúc/khi
từ điển	词典	辞典	cídiǎn	cídiǎn	từ điển	từ điển/từ điển chuyên đề
liên tiếp	连接	联接	liánjiē	liánjiē	liên tiếp/nối liền/tiếp nối	liên tiếp/liên tục
thân thủ	伸手	亲手	shēnshǒu	qīnshǒu	thân thủ/đưa tay/chìa tay/nhúng tay/thò tay	thân thủ/tự tay/chính tay
thân thủ	伸手	身手	shēnshǒu	shēnshǒu	thân thủ/đưa tay/chìa tay/nhúng tay/thò tay	thân thủ/bản lĩnh/tài nghệ/khả năng/tài năng
thân thủ	亲手	身手	qīnshǒu	shēnshǒu	thân thủ/tự tay/chính tay	thân thủ/bản lĩnh/tài nghệ/khả năng/tài năng
khách quan	客观	客官	kèguān	kèguān	khách quan	khách quan/quan khách
cảnh giới	境界	警戒	jìngjiè	jǐngjiè	cảnh giới/ranh giới/địa giới/cương giới/phạm vi/vùng/mức độ/trình độ	cảnh giới/khuyên giải/khuyên can/canh gác
lão gia	老家	老爷	lǎojiā	lǎoyé	lão gia/quê nhà/nguyên quán/quê quán/quê	lão gia/quan lớn/quan to/nhân vật quan trọng/ông chủ/ông ngoại/cũ kỹ
hồ điệp	蝴蝶	胡蝶	húdié	húdié	con bướm/hồ điệp/bướm/bươm bướm	hồ điệp/bươm bướm
đại lí/đại lý	代理	大理	dàilǐ	dàlǐ	đại lý/quyền/thay mặt/đại diện/liệu trị thay kẻ khác	Đại Lý
liên lạc	联络	连络	liánluò	liánluò	liên lạc/liên hệ	liên lạc
hàm nghĩa	含义	涵义	hányì	hányì	hàm nghĩa/ý nghĩa sâu xa/ý nghĩa kín đáo/hàm ý/ý nghĩa	hàm nghĩa/hàm ý/có ý/có nghĩa
thị giác	视觉	视角	shìjué	shìjiǎo	thị giác	thị giác/góc nhìn/góc ngắm/góc chụp ảnh
hồ đồ	糊涂	胡涂	hútú	hútú	hồ đồ/không rõ/mơ hồ/lơ mơ/lung tung/bừa bộn/hỗn loạn/vớ vẩn/không rõ ràng	hồ đồ/không rõ/lơ mơ/mơ hồ
quá độ	过度	过渡	guòdù	guòdù	quá độ/quá/quá mức/quá đáng/vượt quá giới hạn	quá độ/chuyển sang/chuyển tiếp/giao thời
đại thần	大臣	大神	dàchén	dàshén	đại thần	đại thần
chấn động	震动	振动	zhèndòng	zhèndòng	chấn động/rung động/làm rung động/rung rung/vang dội/vang động/làm chấn động	chấn động/dao động/rung động
thần thái	神态	神采	shéntài	shéncǎi	thần thái/dáng vẻ/bộ dạng	thần thái/vẻ/vẻ mặt
biến thiên	变迁	变天	biànqiān	biàntiān	biến thiên/dời đổi/đổi dời/biến dời/đổi thay/biến đổi	biến thiên/trở trời/thời tiết thay đổi/đổi đời/biến đổi về chính trị/trở giời/giở trời/biến đổi về chính trị phát sinh những thay đổi căn bản/thế lực phản động ngóc đầu trở lại
liên thủ	联手	连手	liánshǒu	liánshǒu	liên thủ/liên kết/hợp lại/cùng nhau	liên thủ
ngoại thương	外商	外伤	wàishāng	wàishāng	ngoại thương/thương nhân nước ngoài	ngoại thương/thương tổn vì nguyên nhân bên ngoài
phân lượng	分量	份量	fēnliàng	fènliàng	phân lượng/trọng lượng/sức nặng	phân lượng
hoa văn	华文	花纹	huáwén	huāwén	Hoa Văn/tiếng Hoa	hoa văn
ma sát	摩擦	磨擦	mócā	mócā	ma xát/ma sát/ma/cọ xát/mài/xung đột	ma sát/sự ma xát/đụng chạm/mài/cọ sát vào nhau/xung đột
tinh tế	精细	星际	jīngxì	xīngjì	tinh tế/thấu đáo/tinh vi/chính xác	tinh tế/giữa các vì sao/giữa các hành tinh
đoàn viên	团员	团圆	tuányuán	tuányuán	đoàn viên	đoàn viên/sum họp/sum vầy/đoàn tụ/tròn/hình tròn
oa oa	哇哇	呱呱	wāwā	gūgū	oa oa/quạ quạ	oa oa/hu hu/oe oe/cạc cạc
bình định	评定	平定	píngdìng	píngdìng	bình định/đánh giá/định giá	bình định/ĐỊNH/ổn định/yên ổn/dẹp yên/Bình Định/tỉnh Bình Định
hàn huyên	寒暄	寒喧	hánxuān	hánxuān	hàn huyên/hỏi han/chào hỏi/ân cần	hàn huyên
liên đội	连队	联队	liándùi	liándùi	liên đội/đại đội	liên đội
nguyên hình	原型	原形	yuánxíng	yuánxíng	nguyên hình/nguyên mẫu/mẫu đầu tiên/mô hình vốn có	nguyên hình/bộ mặt thật
nhu nhược	柔弱	懦弱	róuruò	nuòruò	nhu nhược/mềm yếu/yếu đuối/mỏng manh	yếu đuối/nhu nhược/hèn yếu/hèn nhát/nhát gan
công sự	公事	工事	gōngshì	gōngshì	công sự/việc công/việc chung/công văn/giấy tờ	công sự
nhân duyên	因缘	姻缘	yīnyuán	yīnyuán	nhân duyên/duyên/duyên cớ/duyên phận/duyên kiếp	nhân duyên/duyên số/duyên phận
nhân duyên	因缘	人缘	yīnyuán	rényuán	nhân duyên/duyên/duyên cớ/duyên phận/duyên kiếp	nhân duyên
nhân duyên	姻缘	人缘	yīnyuán	rényuán	nhân duyên/duyên số/duyên phận	nhân duyên
súc sinh	畜生	畜牲	chùshēng	chùshēng	súc sinh/súc vật/thú vật/kẻ cục súc/kẻ vũ phu	súc sinh
toàn cảnh	全景	全境	quánjǐng	quánjìng	toàn cảnh	toàn cảnh
vô vị	无味	无谓	wúwèi	wúwèi	vô vị/nhạt nhẽo/nhạt phèo/không thú vị gì/chán phèo/chán	vô vị/vô nghĩa/không cần thiết/không xứng đáng
đại công	大公	大功	dàgōng	dàgōng	đại công	công lớn/đại công/công to
chu toàn	周旋	周全	zhōuxuán	zhōuquán	chu toàn/vòng quanh/lượn quanh/lượn vòng/giao thiệp/chào hỏi/làm quen/quần nhau/vật lộn/đọ sức	chu toàn/chu đáo/toàn diện/giúp đỡ
chính sự	正事	政事	zhèngshì	zhèngshì	chính sự/việc đứng đắn/chuyện nghiêm chỉnh	chính sự/việc nhà nước/việc quốc gia
nha hoàn	丫鬟	丫环	yāhuán	yāhuán	nha hoàn/con sen/a hoàn/đầy tớ gái	nha hoàn
thành hình	成型	成形	chéngxíng	chéngxíng	thành hình/đúng mẫu/giống như đúc/cùng một giuộc	thành hình/xếp hình/xếp thành hình dáng/tượng hình/khoa tạo hình
liên kết	连结	联结	liánjié	liánjié	liên kết/kết hợp	liên kết/nối tiếp/gắn liền
ngoại viện	外援	外院	wàiyuán	wàiyuàn	ngoại viện/viện trợ từ bên ngoài/viện trợ nước ngoài	ngoại viện
thất thủ	失手	失守	shīshǒu	shīshǒu	thất thủ/lỡ tay/sẩy tay	thất thủ/không giữ được
phật gia	佛家	佛爷	fójiā	fóyé	phật gia	Phật gia/ông Phật/Phật Thích Ca Mâu Ni
chủ công	主攻	主公	zhǔgōng	zhǔgōng	chủ công/mũi tiến công chính	chủ công
văn phong	文风	闻风	wénfēng	wénfēng	văn phong	văn phong
thủ tín	守信	取信	shǒuxìn	qǔxìn	thủ tín/giữ chữ tín	thủ tín/lấy tín nhiệm
hoa kì/hoa kỳ	花旗	花期	huāqí	huāqī	Hoa Kỳ/cờ Mỹ/Mỹ	hoa kỳ/thời kỳ ra hoa/thời kỳ nở hoa
minh chủ	盟主	明主	méngzhǔ	míngzhǔ	minh chủ	minh chủ/minh quân/anh quân
